date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
2019-11-17,Albania,France,0,2,European Championship qual,,Albania,False,Albania,France,away_win
2019-11-17,Luxembourg,Portugal,0,2,European Championship qual,,Luxembourg,False,Luxembourg,Portugal,away_win
2019-11-17,Kosovo,England,0,4,European Championship qual,,Kosovo,False,Kosovo,England,away_win
2019-11-17,Eswatini,Senegal,1,4,African Nations Cup qualifier,,Eswatini,False,Eswatini,Senegal,away_win
2019-11-18,Comoros,Egypt,0,0,African Nations Cup qualifier,,Comoros,False,Comoros,Egypt,draw
2019-11-18,São Tomé and Príncipe,Ghana,0,1,African Nations Cup qualifier,,São Tomé and Príncipe,False,São Tomé and Príncipe,Ghana,away_win
2019-11-18,Botswana,Algeria,0,1,African Nations Cup qualifier,,Botswana,False,Botswana,Algeria,away_win
2019-11-18,Cape Verde,Mozambique,2,2,African Nations Cup qualifier,,Cape Verde,False,Cabo Verde,Mozambique,draw
2019-11-18,Malta,Norway,1,2,European Championship qual,,Malta,False,Malta,Norway,away_win
2019-11-18,Gibraltar,Switzerland,1,6,European Championship qual,,Gibraltar,False,Gibraltar,Switzerland,away_win
2019-11-18,Spain,Romania,5,0,European Championship qual,,Spain,False,Spain,Romania,home_win
2019-11-18,Argentina,Uruguay,2,2,Friendly,,Israel,True,Argentina,Uruguay,draw
2019-11-19,Croatia,Georgia,2,1,Friendly,,Croatia,False,Croatia,Georgia,home_win
2019-11-19,Uzbekistan,Palestine,2,0,World Cup and Asian Cup qual,,Uzbekistan,False,Uzbekistan,Palestine,home_win
2019-11-19,Saudi Arabia,Paraguay,0,0,Friendly,,Saudi Arabia,False,Saudi Arabia,Paraguay,draw
2019-11-19,Jordan,Taiwan,5,0,World Cup and Asian Cup qual,,Jordan,False,Jordan,Taiwan,home_win
2019-11-19,Brazil,South Korea,3,0,Friendly,,United Arab Emirates,True,Brazil,Korea Republic,home_win
2019-11-19,Qatar,Afghanistan,1,0,World Cup and Asian Cup qual,,Tajikistan,True,Qatar,Afghanistan,home_win
2019-11-19,Japan,Venezuela,1,4,Friendly,,Japan,False,Japan,Venezuela,away_win
2019-11-19,Ethiopia,Ivory Coast,2,1,African Nations Cup qualifier,,Ethiopia,False,Ethiopia,Côte d'Ivoire,home_win
2019-11-19,Scotland,Kazakhstan,3,1,European Championship qual,,Scotland,False,Scotland,Kazakhstan,home_win
2019-11-19,Belgium,Cyprus,6,1,European Championship qual,,Belgium,False,Belgium,Cyprus,home_win
2019-11-19,Burundi,Morocco,0,3,African Nations Cup qualifier,,Burundi,False,Burundi,Morocco,away_win
2019-11-19,Germany,Northern Ireland,6,1,European Championship qual,,Germany,False,Germany,Northern Ireland,home_win
2019-11-19,Latvia,Austria,1,0,European Championship qual,,Latvia,False,Latvia,Austria,home_win
2019-11-19,Colombia,Ecuador,1,0,Friendly,,United States,True,Colombia,Ecuador,home_win
2019-11-19,United States,Cuba,4,0,CONCACAF Nations League A,,Cayman Islands,True,USA,Cuba,home_win
2019-11-19,Equatorial Guinea,Tunisia,0,1,African Nations Cup qualifier,,Equatorial Guinea,False,Equatorial Guinea,Tunisia,away_win
2019-11-19,Mexico,Bermuda,2,1,CONCACAF Nations League A,,Mexico,False,Mexico,Bermuda,home_win
2019-11-19,Netherlands,Estonia,5,0,European Championship qual,,Netherlands,False,Netherlands,Estonia,home_win
2019-11-26,Qatar,Iraq,1,2,Gulf Cup,,Qatar,False,Qatar,Iraq,away_win
2019-11-27,Kuwait,Saudi Arabia,3,1,Gulf Cup,,Qatar,True,Kuwait,Saudi Arabia,home_win
2019-11-29,Qatar,Yemen,6,0,Gulf Cup,,Qatar,False,Qatar,Yemen,home_win
2019-11-30,Saudi Arabia,Bahrain,2,0,Gulf Cup,,Qatar,True,Saudi Arabia,Bahrain,home_win
2019-12-02,Qatar,United Arab Emirates,4,2,Gulf Cup,,Qatar,False,Qatar,United Arab Emirates,home_win
2019-12-02,Saudi Arabia,Oman,3,1,Gulf Cup,,Qatar,True,Saudi Arabia,Oman,home_win
2019-12-05,Qatar,Saudi Arabia,0,1,Gulf Cup,,Qatar,False,Qatar,Saudi Arabia,away_win
2019-12-08,Bahrain,Saudi Arabia,1,0,Gulf Cup,,Qatar,True,Bahrain,Saudi Arabia,home_win
2019-12-10,Japan,China,2,1,East Asian Championship,,South Korea,True,Japan,China,home_win
2019-12-11,South Korea,Hong Kong,2,0,East Asian Championship,,South Korea,False,Korea Republic,Hong Kong,home_win
2019-12-14,Japan,Hong Kong,5,0,East Asian Championship,,South Korea,True,Japan,Hong Kong,home_win
2019-12-15,South Korea,China,1,0,East Asian Championship,,South Korea,False,Korea Republic,China,home_win
2019-12-18,South Korea,Japan,1,0,East Asian Championship,,South Korea,False,Korea Republic,Japan,home_win
2020-01-07,Canada,Barbados,4,1,Friendly,,United States,True,Canada,Barbados,home_win
2020-01-10,Canada,Barbados,4,1,Friendly,,United States,True,Canada,Barbados,home_win
2020-01-15,Iceland,Canada,1,0,Friendly,,United States,True,Iceland,Canada,home_win
2020-02-01,United States,Costa Rica,1,0,Friendly,,United States,False,USA,Costa Rica,home_win
2020-02-23,Belarus,Uzbekistan,1,0,Friendly,,United Arab Emirates,True,Belarus,Uzbekistan,home_win
2020-02-25,Nicaragua,Panama,0,0,Friendly,,Nicaragua,False,Nicaragua,Panama,draw
2020-03-04,Guatemala,Panama,0,2,Friendly,,Guatemala,False,Guatemala,Panama,away_win
2020-09-03,Ukraine,Switzerland,2,1,European Nations League A,,Ukraine,False,Ukraine,Switzerland,home_win
2020-09-03,Germany,Spain,1,1,European Nations League A,,Germany,False,Germany,Spain,draw
2020-09-03,Uzbekistan,Tajikistan,2,1,Friendly,,Uzbekistan,False,Uzbekistan,Tajikistan,home_win
2020-09-04,Norway,Austria,1,2,European Nations League B,,Norway,False,Norway,Austria,away_win
2020-09-04,Netherlands,Poland,1,0,European Nations League A,,Netherlands,False,Netherlands,Poland,home_win
2020-09-04,Scotland,Israel,1,1,European Nations League B,,Scotland,False,Scotland,Israel,draw
2020-09-05,Portugal,Croatia,4,1,European Nations League A,,Portugal,False,Portugal,Croatia,home_win
2020-09-05,Sweden,France,0,1,European Nations League A,,Sweden,False,Sweden,France,away_win
2020-09-05,Denmark,Belgium,0,2,European Nations League A,,Denmark,False,Denmark,Belgium,away_win
2020-09-05,Iceland,England,0,1,European Nations League A,,Iceland,False,Iceland,England,away_win
2020-09-06,Switzerland,Germany,1,1,European Nations League A,,Switzerland,False,Switzerland,Germany,draw
2020-09-06,Spain,Ukraine,4,0,European Nations League A,,Spain,False,Spain,Ukraine,home_win
2020-09-07,Austria,Romania,2,3,European Nations League B,,Austria,False,Austria,Romania,away_win
2020-09-07,Northern Ireland,Norway,1,5,European Nations League B,,Northern Ireland,False,Northern Ireland,Norway,away_win
2020-09-07,Czechia,Scotland,1,2,European Nations League B,,Czechia,False,Czechia,Scotland,away_win
2020-09-07,Netherlands,Italy,0,1,European Nations League A,,Netherlands,False,Netherlands,Italy,away_win
2020-09-08,France,Croatia,4,2,European Nations League A,,France,False,France,Croatia,home_win
