date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1990-03-05,Algeria,Ivory Coast,3,0,African Nations Cup,,Algeria,False,Algeria,Côte d'Ivoire,home_win
1990-03-08,Algeria,Egypt,2,0,African Nations Cup,,Algeria,False,Algeria,Egypt,home_win
1990-03-12,Algeria,Senegal,2,1,African Nations Cup,,Algeria,False,Algeria,Senegal,home_win
1990-03-20,Mexico,Uruguay,2,1,Friendly,,United States,True,Mexico,Uruguay,home_win
1990-03-28,Spain,Austria,2,3,Friendly,,Spain,False,Spain,Austria,away_win
1990-03-28,England,Brazil,1,0,Friendly,,England,False,England,Brazil,home_win
1990-03-28,Scotland,Argentina,1,0,Friendly,,Scotland,False,Scotland,Argentina,home_win
1990-04-17,Mexico,Colombia,2,0,Friendly,,United States,True,Mexico,Colombia,home_win
1990-04-22,United States,Colombia,0,1,Friendly,,United States,False,USA,Colombia,away_win
1990-05-03,Austria,Argentina,1,1,Friendly,,Austria,False,Austria,Argentina,draw
1990-05-06,Canada,United States,1,0,North American Champ,,Canada,False,Canada,USA,home_win
1990-05-08,Switzerland,Argentina,1,1,Friendly,,Switzerland,False,Switzerland,Argentina,draw
1990-05-10,Mexico,United States,1,0,North American Champ,,Canada,True,Mexico,USA,home_win
1990-05-13,Canada,Mexico,2,1,North American Champ,,Canada,False,Canada,Mexico,home_win
1990-05-16,Scotland,Egypt,1,3,Friendly,,Scotland,False,Scotland,Egypt,away_win
1990-05-22,England,Uruguay,1,2,Friendly,,England,False,England,Uruguay,away_win
1990-05-26,Egypt,Colombia,1,1,Friendly,,Egypt,False,Egypt,Colombia,draw
1990-05-30,Austria,Netherlands,3,2,Friendly,,Austria,False,Austria,Netherlands,home_win
1990-06-02,Tunisia,England,1,1,Friendly,,Tunisia,False,Tunisia,England,draw
1990-06-02,Switzerland,United States,2,1,Friendly,,Switzerland,False,Switzerland,USA,home_win
1990-06-02,Belgium,Mexico,3,0,Friendly,,Belgium,False,Belgium,Mexico,home_win
1990-06-12,Belgium,South Korea,2,0,World Cup,,Italy,True,Belgium,Korea Republic,home_win
1990-06-12,Egypt,Netherlands,1,1,World Cup,,Italy,True,Egypt,Netherlands,draw
1990-06-13,Spain,Uruguay,0,0,World Cup,,Italy,True,Spain,Uruguay,draw
1990-06-16,England,Netherlands,0,0,World Cup,,Italy,True,England,Netherlands,draw
1990-06-17,Spain,South Korea,3,1,World Cup,,Italy,True,Spain,Korea Republic,home_win
1990-06-17,Belgium,Uruguay,3,1,World Cup,,Italy,True,Belgium,Uruguay,home_win
1990-06-19,Austria,United States,2,1,World Cup,,Italy,True,Austria,USA,home_win
1990-06-20,Brazil,Scotland,1,0,World Cup,,Italy,True,Brazil,Scotland,home_win
1990-06-21,Uruguay,South Korea,1,0,World Cup,,Italy,True,Uruguay,Korea Republic,home_win
1990-06-21,England,Egypt,1,0,World Cup,,Italy,True,England,Egypt,home_win
1990-06-21,Spain,Belgium,2,1,World Cup,,Italy,True,Spain,Belgium,home_win
1990-06-24,Argentina,Brazil,1,0,World Cup,,Italy,True,Argentina,Brazil,home_win
1990-06-26,England,Belgium,1,0,World Cup,,Italy,True,England,Belgium,home_win
1990-07-27,South Korea,Japan,2,0,Dynasty Cup,,China,True,Korea Republic,Japan,home_win
1990-08-09,Tunisia,Morocco,0,0,Friendly,,Tunisia,False,Tunisia,Morocco,draw
1990-08-21,Austria,Switzerland,1,3,Friendly,,Austria,False,Austria,Switzerland,away_win
1990-09-06,South Korea,Australia,1,0,Friendly,,South Korea,False,Korea Republic,Australia,home_win
1990-09-09,South Korea,Australia,1,0,Friendly,,South Korea,False,Korea Republic,Australia,home_win
