match_no,date,stage,group,team_a,team_b,team_a_clean,team_b_clean,venue,city,country,neutral
Match 53,2026-06-24,,Group A,Czechia/Denmark/North Macedonia/Republic of Ireland,Mexico,Czechia/Denmark/North Macedonia/Republic of Ireland,Mexico,Mexico City Stadium,,,True
Match 54,2026-06-24,,Group A,South Africa,Korea Republic,South Africa,Korea Republic,Estadio Monterrey,,,True
Match 55,2026-06-25,,Group E,Curaçao,Côte d'Ivoire,Curaçao,Côte d'Ivoire,Philadelphia Stadium,,,True
Match 56,2026-06-25,,Group E,Ecuador,Germany,Ecuador,Germany,New York New Jersey Stadium,,,True
Match 57,2026-06-25,,Group F,Japan,Albania/Poland/Sweden/Ukraine,Japan,Albania/Poland/Sweden/Ukraine,Dallas Stadium,,,True
Match 58,2026-06-25,,Group F,Tunisia,Netherlands,Tunisia,Netherlands,Kansas City Stadium,,,True
Match 59,2026-06-25,,Group D,Kosovo/Romania/Slovakia/Türkiye,USA,Kosovo/Romania/Slovakia/Türkiye,USA,Los Angeles Stadium,,,True
Match 60,2026-06-25,,Group D,Paraguay,Australia,Paraguay,Australia,San Francisco Bay Area Stadium,,,True
Match 61,2026-06-26,,Group I,Norway,France,Norway,France,Boston Stadium,,,True
Match 62,2026-06-26,,Group I,Senegal,Bolivia/Iraq/Suriname,Senegal,Bolivia/Iraq/Suriname,Toronto Stadium,,,True
Match 63,2026-06-26,,Group G,Egypt,IR Iran,Egypt,IR Iran,Seattle Stadium,,,True
Match 64,2026-06-26,,Group G,New Zealand,Belgium,New Zealand,Belgium,BC Place Vancouver,,,True
Match 65,2026-06-26,,Group H,Cabo Verde,Saudi Arabia,Cabo Verde,Saudi Arabia,Houston Stadium,,,True
Match 66,2026-06-26,,Group H,Uruguay,Spain,Uruguay,Spain,Estadio Guadalajara,,,True
Match 67,2026-06-27,,Group L,Panama,England,Panama,England,New York New Jersey Stadium,,,True
Match 68,2026-06-27,,Group L,Croatia,Ghana,Croatia,Ghana,Philadelphia Stadium,,,True
Match 69,2026-06-27,,Group J,Algeria,Austria,Algeria,Austria,Kansas City Stadium,,,True
Match 70,2026-06-27,,Group J,Jordan,Argentina,Jordan,Argentina,Dallas Stadium,,,True
Match 71,2026-06-27,,Group K,Colombia,Portugal,Colombia,Portugal,Miami Stadium,,,True
Match 72,2026-06-27,,Group K,Congo DR/Jamaica/New Caledonia,Uzbekistan,Congo DR/Jamaica/New Caledonia,Uzbekistan,Atlanta Stadium,,,True
Match 73,2026-06-28,,,Group A runners-up,Group B runners-up,Group A runners-up,Group B runners-up,Los Angeles Stadium,,,True
Match 74,2026-06-29,,,Group E winners,Group A/B/C/D/F third place,Group E winners,Group A/B/C/D/F third place,Boston Stadium,,,True
Match 75,2026-06-29,,,Group F winners,Group C runners-up,Group F winners,Group C runners-up,Estadio Monterrey,,,True
Match 76,2026-06-29,,,Group C winners,Group F runners-up,Group C winners,Group F runners-up,Houston Stadium,,,True
Match 77,2026-06-30,,,Group I winners,Group C/D/F/G/H third place,Group I winners,Group C/D/F/G/H third place,New York New Jersey Stadium,,,True
Match 78,2026-06-30,,,Group E runners up,Group I runners-up,Group E runners up,Group I runners-up,Dallas Stadium,,,True
Match 79,2026-06-30,,,Group A winners,Group C/E/F/H/I third place,Group A winners,Group C/E/F/H/I third place,Mexico City Stadium,,,True
Match 80,2026-07-01,,,Group L winners,Group E/H/I/J/K third place,Group L winners,Group E/H/I/J/K third place,Atlanta Stadium,,,True
Match 81,2026-07-01,,,Group D winners,Group B/E/F/I/J third place,Group D winners,Group B/E/F/I/J third place,San Francisco Bay Area Stadium,,,True
Match 82,2026-07-01,,,Group G winners,Group A/E/H/I/J third place,Group G winners,Group A/E/H/I/J third place,Seattle Stadium,,,True
