date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
2001-07-13,Uruguay,Bolivia,1,0,Copa America,,Colombia,True,Uruguay,Bolivia,home_win
2001-07-13,Egypt,Namibia,8,2,World Cup qualifier,,Egypt,False,Egypt,Namibia,home_win
2001-07-14,South Africa,Malawi,2,0,World Cup qualifier,,South Africa,False,South Africa,Malawi,home_win
2001-07-14,Senegal,Morocco,1,0,World Cup qualifier,,Senegal,False,Senegal,Morocco,home_win
2001-07-14,Colombia,Ecuador,1,0,Copa America,,Colombia,False,Colombia,Ecuador,home_win
2001-07-15,Mexico,Paraguay,0,0,Copa America,,Colombia,True,Mexico,Paraguay,draw
2001-07-15,Brazil,Peru,2,0,Copa America,,Colombia,True,Brazil,Peru,home_win
2001-07-15,Congo,Ivory Coast,1,1,World Cup qualifier,,Congo,False,Congo,Côte d'Ivoire,draw
2001-07-15,DR Congo,Tunisia,0,3,World Cup qualifier,,DR Congo,False,DR Congo,Tunisia,away_win
2001-07-15,Ghana,Sudan,1,0,World Cup qualifier,,Ghana,False,Ghana,Sudan,home_win
2001-07-16,Costa Rica,Uruguay,1,1,Copa America,,Colombia,True,Costa Rica,Uruguay,draw
2001-07-17,Colombia,Chile,2,0,Copa America,,Colombia,False,Colombia,Chile,home_win
2001-07-17,Ecuador,Venezuela,4,0,Copa America,,Colombia,True,Ecuador,Venezuela,home_win
2001-07-18,Peru,Mexico,1,0,Copa America,,Colombia,True,Peru,Mexico,home_win
2001-07-18,Brazil,Paraguay,3,1,Copa America,,Colombia,True,Brazil,Paraguay,home_win
2001-07-19,Malaysia,Saudi Arabia,0,4,Friendly,,Malaysia,False,Malaysia,Saudi Arabia,away_win
2001-07-19,Honduras,Uruguay,1,0,Copa America,,Colombia,True,Honduras,Uruguay,home_win
2001-07-21,Malawi,South Africa,1,0,COSAFA Cup,,Malawi,False,Malawi,South Africa,home_win
2001-07-21,Namibia,Senegal,0,5,World Cup qualifier,,Namibia,False,Namibia,Senegal,away_win
2001-07-21,Algeria,Egypt,1,1,World Cup qualifier,,Algeria,False,Algeria,Egypt,draw
2001-07-22,Bosnia and Herzegovina,Iran,2,2,Friendly,,Bosnia and Herzegovina,False,Bosnia and Herzegovina,IR Iran,draw
2001-07-22,Uruguay,Costa Rica,2,1,Copa America,,Colombia,True,Uruguay,Costa Rica,home_win
2001-07-22,Mexico,Chile,2,0,Copa America,,Colombia,True,Mexico,Chile,home_win
2001-07-23,Saudi Arabia,North Korea,1,0,Friendly,,Malaysia,True,Saudi Arabia,North Korea,home_win
2001-07-23,Honduras,Brazil,2,0,Copa America,,Colombia,True,Honduras,Brazil,home_win
2001-07-23,Colombia,Peru,3,0,Copa America,,Colombia,False,Colombia,Peru,home_win
2001-07-24,Qatar,Macedonia,1,0,Friendly,,France,True,Qatar,Macedonia,home_win
2001-07-25,Mexico,Uruguay,2,1,Copa America,,Colombia,True,Mexico,Uruguay,home_win
2001-07-26,Colombia,Honduras,2,0,Copa America,,Colombia,False,Colombia,Honduras,home_win
2001-07-28,Honduras,Uruguay,2,2,Copa America,,Colombia,True,Honduras,Uruguay,draw
2001-07-29,Colombia,Mexico,1,0,Copa America,,Colombia,False,Colombia,Mexico,home_win
2001-07-29,Ivory Coast,DR Congo,1,2,World Cup qualifier,,Ivory Coast,False,Côte d'Ivoire,DR Congo,away_win
2001-07-29,Nigeria,Ghana,3,0,World Cup qualifier,,Nigeria,False,Nigeria,Ghana,home_win
2001-07-29,Panama,Cuba,0,0,CONCACAF Champ qual,,Panama,False,Panama,Cuba,draw
2001-08-01,Qatar,Iran,2,1,Friendly,,Qatar,False,Qatar,IR Iran,home_win
2001-08-01,Saudi Arabia,Macedonia,1,1,Friendly,,Saudi Arabia,False,Saudi Arabia,Macedonia,draw
2001-08-04,Colombia,Liberia,2,1,Friendly,,United States,True,Colombia,Liberia,home_win
2001-08-05,Saudi Arabia,Qatar,1,2,Friendly,,Saudi Arabia,False,Saudi Arabia,Qatar,away_win
2001-08-05,Cuba,Panama,1,0,CONCACAF Champ qual,,Cuba,False,Cuba,Panama,home_win
2001-08-08,Iran,Oman,5,2,Friendly tournament,,Iran,False,IR Iran,Oman,home_win
2001-08-08,Saudi Arabia,United Arab Emirates,1,0,Friendly,,Qatar,True,Saudi Arabia,United Arab Emirates,home_win
2001-08-09,Brazil,Panama,5,0,Friendly,,Brazil,False,Brazil,Panama,home_win
2001-08-10,Iran,Bosnia and Herzegovina,4,0,Friendly tournament,,Iran,False,IR Iran,Bosnia and Herzegovina,home_win
2001-08-10,Qatar,Bahrain,1,1,Friendly,,Qatar,False,Qatar,Bahrain,draw
2001-08-14,Venezuela,Uruguay,2,0,World Cup qualifier,,Venezuela,False,Venezuela,Uruguay,home_win
2001-08-15,Portugal,Moldova,3,0,Friendly,,Portugal,False,Portugal,Moldova,home_win
2001-08-15,Ireland,Croatia,2,2,Friendly,,Ireland,False,Ireland,Croatia,draw
2001-08-15,Sweden,South Africa,3,0,Friendly,,Sweden,False,Sweden,South Africa,home_win
2001-08-15,France,Denmark,1,0,Friendly,,France,False,France,Denmark,home_win
2001-08-15,Japan,Australia,3,0,AFC-OFC Challenge Cup,,Japan,False,Japan,Australia,home_win
2001-08-15,Slovakia,Iran,3,4,Friendly,,Slovakia,False,Slovakia,IR Iran,away_win
2001-08-15,Norway,Turkey,1,1,Friendly,,Norway,False,Norway,Türkiye,draw
2001-08-15,Ecuador,Argentina,0,2,World Cup qualifier,,Ecuador,False,Ecuador,Argentina,away_win
2001-08-15,Czechia,South Korea,5,0,Friendly,,Czechia,False,Czechia,Korea Republic,home_win
2001-08-15,England,Netherlands,0,2,Friendly,,England,False,England,Netherlands,away_win
2001-08-15,Austria,Switzerland,1,2,Friendly,,Austria,False,Austria,Switzerland,away_win
2001-08-15,Hungary,Germany,2,5,Friendly,,Hungary,False,Hungary,Germany,away_win
2001-08-15,Finland,Belgium,4,1,Friendly,,Finland,False,Finland,Belgium,home_win
2001-08-15,Brazil,Paraguay,2,0,World Cup qualifier,,Brazil,False,Brazil,Paraguay,home_win
2001-08-16,Qatar,Oman,0,0,World Cup qualifier,,Qatar,False,Qatar,Oman,draw
2001-08-16,Colombia,Peru,0,1,World Cup qualifier,,Colombia,False,Colombia,Peru,away_win
2001-08-17,United Arab Emirates,Uzbekistan,4,1,World Cup qualifier,,United Arab Emirates,False,United Arab Emirates,Uzbekistan,home_win
2001-08-17,Saudi Arabia,Bahrain,1,1,World Cup qualifier,,Saudi Arabia,False,Saudi Arabia,Bahrain,draw
2001-08-23,Mexico,Liberia,5,4,Friendly,,Mexico,False,Mexico,Liberia,home_win
2001-08-24,Iran,Saudi Arabia,2,0,World Cup qualifier,,Iran,False,IR Iran,Saudi Arabia,home_win
2001-08-26,Uzbekistan,Qatar,2,1,World Cup qualifier,,Uzbekistan,False,Uzbekistan,Qatar,home_win
2001-08-31,Saudi Arabia,Iraq,1,0,World Cup qualifier,,Bahrain,True,Saudi Arabia,Iraq,home_win
2001-08-31,United Arab Emirates,Qatar,0,2,World Cup qualifier,,United Arab Emirates,False,United Arab Emirates,Qatar,away_win
2001-09-01,Poland,Norway,3,0,World Cup qualifier,,Poland,False,Poland,Norway,home_win
2001-09-01,Portugal,Andorra,7,1,World Cup qualifier,,Spain,True,Portugal,Andorra,home_win
2001-09-01,Switzerland,Yugoslavia,1,2,World Cup qualifier,,Switzerland,False,Switzerland,Yugoslavia,away_win
2001-09-01,Spain,Austria,4,0,World Cup qualifier,,Spain,False,Spain,Austria,home_win
2001-09-01,Germany,England,1,5,World Cup qualifier,,Germany,False,Germany,England,away_win
2001-09-01,Scotland,Croatia,0,0,World Cup qualifier,,Scotland,False,Scotland,Croatia,draw
2001-09-01,Chile,France,2,1,Friendly,,Chile,False,Chile,France,home_win
2001-09-01,United States,Honduras,2,3,World Cup qualifier,,United States,False,USA,Honduras,away_win
2001-09-01,Thailand,Iran,0,0,World Cup qualifier,,Thailand,False,Thailand,IR Iran,draw
2001-09-01,Ireland,Netherlands,1,0,World Cup qualifier,,Ireland,False,Ireland,Netherlands,home_win
2001-09-02,Jamaica,Mexico,1,2,World Cup qualifier,,Jamaica,False,Jamaica,Mexico,away_win
2001-09-04,Peru,Uruguay,0,2,World Cup qualifier,,Peru,False,Peru,Uruguay,away_win
2001-09-05,San Marino,Croatia,0,4,World Cup qualifier,,San Marino,False,San Marino,Croatia,away_win
2001-09-05,Cyprus,Portugal,1,3,World Cup qualifier,,Cyprus,False,Cyprus,Portugal,away_win
2001-09-05,Liechtenstein,Spain,0,2,World Cup qualifier,,Liechtenstein,False,Liechtenstein,Spain,away_win
2001-09-05,Luxembourg,Switzerland,0,3,World Cup qualifier,,Luxembourg,False,Luxembourg,Switzerland,away_win
2001-09-05,Italy,Morocco,1,0,Friendly,,Italy,False,Italy,Morocco,home_win
2001-09-05,Costa Rica,United States,2,0,World Cup qualifier,,Costa Rica,False,Costa Rica,USA,home_win
2001-09-05,Netherlands,Estonia,5,0,World Cup qualifier,,Netherlands,False,Netherlands,Estonia,home_win
2001-09-05,Argentina,Brazil,2,1,World Cup qualifier,,Argentina,False,Argentina,Brazil,home_win
2001-09-05,Paraguay,Bolivia,5,1,World Cup qualifier,,Paraguay,False,Paraguay,Bolivia,home_win
2001-09-05,Mexico,Trinidad and Tobago,3,0,World Cup qualifier,,Mexico,False,Mexico,Trinidad and Tobago,home_win
2001-09-05,Belgium,Scotland,2,0,World Cup qualifier,,Belgium,False,Belgium,Scotland,home_win
2001-09-05,England,Albania,2,0,World Cup qualifier,,England,False,England,Albania,home_win
2001-09-05,Norway,Wales,3,2,World Cup qualifier,,Norway,False,Norway,Wales,home_win
2001-09-05,Austria,Bosnia and Herzegovina,2,0,World Cup qualifier,,Austria,False,Austria,Bosnia and Herzegovina,home_win
2001-09-05,Colombia,Ecuador,0,0,World Cup qualifier,,Colombia,False,Colombia,Ecuador,draw
2001-09-07,Qatar,China,1,1,World Cup qualifier,,Qatar,False,Qatar,China,draw
2001-09-07,Iraq,Iran,1,2,World Cup qualifier,,Iraq,False,Iraq,IR Iran,away_win
2001-09-07,Saudi Arabia,United Arab Emirates,0,2,Friendly,,Saudi Arabia,False,Saudi Arabia,United Arab Emirates,away_win
2001-09-08,Uzbekistan,Oman,5,0,World Cup qualifier,,Uzbekistan,False,Uzbekistan,Oman,home_win
2001-09-13,South Korea,Nigeria,2,2,Friendly,,South Korea,False,Korea Republic,Nigeria,draw
2001-09-14,Qatar,Iraq,0,0,Friendly,,Qatar,False,Qatar,Iraq,draw
2001-09-14,Iran,Bahrain,0,0,World Cup qualifier,,Iran,False,IR Iran,Bahrain,draw
2001-09-15,China,Uzbekistan,2,0,World Cup qualifier,,China,False,China,Uzbekistan,home_win
2001-09-15,Thailand,Saudi Arabia,1,3,World Cup qualifier,,Thailand,False,Thailand,Saudi Arabia,away_win
2001-09-16,South Korea,Nigeria,2,1,Friendly,,South Korea,False,Korea Republic,Nigeria,home_win
2001-09-21,Bahrain,Saudi Arabia,0,4,World Cup qualifier,,Bahrain,False,Bahrain,Saudi Arabia,away_win
2001-09-21,Oman,Qatar,0,3,World Cup qualifier,,Oman,False,Oman,Qatar,away_win
2001-09-22,Uzbekistan,United Arab Emirates,0,1,World Cup qualifier,,Uzbekistan,False,Uzbekistan,United Arab Emirates,away_win
2001-09-28,Qatar,Uzbekistan,2,2,World Cup qualifier,,Qatar,False,Qatar,Uzbekistan,draw
2001-09-28,Saudi Arabia,Iran,2,2,World Cup qualifier,,Saudi Arabia,False,Saudi Arabia,IR Iran,draw
2001-10-04,Qatar,United Arab Emirates,1,2,World Cup qualifier,,Qatar,False,Qatar,United Arab Emirates,away_win
2001-10-04,Senegal,Japan,2,0,Friendly,,France,True,Senegal,Japan,home_win
2001-10-05,Iran,Thailand,1,0,World Cup qualifier,,Iran,False,IR Iran,Thailand,home_win
2001-10-05,Saudi Arabia,Iraq,2,1,World Cup qualifier,,Jordan,True,Saudi Arabia,Iraq,home_win
2001-10-05,Bahrain,Qatar,1,0,Friendly,,Bahrain,False,Bahrain,Qatar,home_win
