team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,team_a_goals,team_b_goals,result
Mexico,South Africa,2026-06-11,FIFA World Cup,False,5,5,0.6,0.2,0.4,0.4,0.0,0.4,2.2,1.0,10,10,0.5,0.4,0.4,0.3,0.1,0.3,1.2,1.4,0.4,1.0,0.8,0.4,1.9,1.5,0.2,0.7999999999999998,0.3999999999999999,-1.5,1.9,1,1.0,0.2,0.0,2.0,1.2,2,0,team_a_win
Korea Republic,Czechia,2026-06-12,FIFA World Cup,True,5,5,0.6,0.2,0.0,0.0,0.4,0.8,1.8,0.6,10,10,0.5,0.3,0.1,0.1,0.4,0.6,1.4,1.0,1.3,1.9,0.1,-0.9,1.6,1.0,0.5,1.1,0.8999999999999999,-0.7,1.6,1,0.0,0.0,1.0,1.0,1.5,2,1,team_a_win
Canada,Bosnia and Herzegovina,2026-06-12,FIFA World Cup,False,5,5,0.6,0.0,0.4,0.2,0.0,0.8,2.2,0.2,10,10,0.5,0.0,0.4,0.2,0.1,0.8,1.1,0.6,0.3,3.0,0.8,-2.4,1.9,0.2,0.3,1.0,0.6000000000000001,-1.1,1.7000000000000002,1,0.0,0.1666666666666666,0.0,0.0,0.6666666666666666,1,1,draw
USA,Paraguay,2026-06-13,FIFA World Cup,False,5,5,0.6,0.4,0.0,0.2,0.4,0.4,1.8,1.4,10,10,0.5,0.4,0.1,0.3,0.4,0.3,1.8,1.1,1.7,1.0,0.1,0.1,1.6,1.5,-0.3,-0.7999999999999998,-0.8,0.7999999999999999,-1.6,10,0.4,0.0,0.0,1.5,0.0,4,1,team_a_win
Qatar,Switzerland,2026-06-13,FIFA World Cup,True,5,5,0.2,0.4,0.4,0.4,0.4,0.2,1.0,1.6,10,10,0.2,0.6,0.3,0.3,0.5,0.1,0.8,2.5,1.5,0.7,-0.7,1.8,0.9,2.1,-0.3999999999999999,-1.2000000000000002,-2.1,0.8,-2.9000000000000004,0,0.0,0.0,0.0,0.0,0.0,1,1,draw
Brazil,Morocco,2026-06-14,FIFA World Cup,True,5,5,0.6,0.6,0.2,0.2,0.2,0.2,2.0,2.0,10,10,0.6,0.7,0.1,0.2,0.3,0.1,2.4,1.6,1.0,0.4,1.4,1.2,1.9,2.3,0.0,-0.2000000000000001,1.0,0.5,0.4999999999999999,2,1.0,0.0,0.0,3.0,0.0,1,1,draw
Haiti,Scotland,2026-06-14,FIFA World Cup,True,5,5,0.4,0.6,0.2,0.0,0.4,0.4,1.4,1.8,10,10,0.3,0.5,0.4,0.1,0.3,0.4,1.2,1.8,1.1,1.4,0.1,0.4,1.3,1.6,0.0999999999999999,0.6000000000000001,0.2999999999999999,-0.3999999999999999,0.7,0,0.0,0.0,0.0,0.0,0.0,0,1,team_b_win
Australia,Türkiye,2026-06-14,FIFA World Cup,True,5,5,0.4,0.4,0.0,0.0,0.6,0.6,1.2,1.2,10,10,0.6,0.4,0.0,0.0,0.4,0.6,1.4,1.2,1.0,2.6,0.4,-1.4,1.8,1.2,0.0,-0.3,-1.1,0.3,-1.4,1,0.0,0.0,1.0,0.0,0.25,2,0,team_a_win
Germany,Curaçao,2026-06-14,FIFA World Cup,True,5,5,1.0,0.2,0.0,0.4,0.0,0.4,3.0,1.0,10,10,0.7,0.3,0.0,0.4,0.3,0.3,2.3,1.6,1.1,1.3,1.2,0.3,2.1,1.3,0.6,1.5,1.4,-0.8999999999999999,2.3,8,0.375,0.0,0.625,1.5,0.0,7,1,team_a_win
Netherlands,Japan,2026-06-14,FIFA World Cup,True,5,5,0.4,0.8,0.4,0.2,0.2,0.0,1.6,2.6,10,10,0.6,0.7,0.3,0.2,0.1,0.1,2.8,2.0,0.7,0.7,2.1,1.3,2.1,2.3,0.0999999999999999,0.3,1.2999999999999998,0.0,1.3,0,0.0,0.0,0.0,0.0,1.0,2,2,draw
Côte d'Ivoire,Ecuador,2026-06-15,FIFA World Cup,True,5,5,0.6,0.2,0.2,0.8,0.2,0.0,2.0,1.4,10,10,0.7,0.2,0.1,0.8,0.2,0.0,2.6,0.6,0.7,0.3,1.9,0.3,2.2,1.4,0.1999999999999999,0.6000000000000001,0.8,-0.7,1.5,0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0,team_a_win
Sweden,Tunisia,2026-06-15,FIFA World Cup,True,5,5,0.2,0.2,0.2,0.6,0.6,0.2,0.8,1.2,10,10,0.4,0.4,0.1,0.4,0.5,0.2,1.8,1.5,2.2,1.0,-0.4,0.5,1.3,1.6,-0.0999999999999999,-0.5,-0.5999999999999999,1.0000000000000002,-1.6,4,0.5,0.0,0.5,1.0,1.0,5,1,team_a_win
Spain,Cabo Verde,2026-06-15,FIFA World Cup,True,5,5,0.4,0.4,0.6,0.6,0.0,0.0,1.8,1.8,10,10,0.6,0.5,0.4,0.5,0.0,0.0,2.7,1.7,0.5,0.7,2.2,1.0,2.2,2.0,0.3999999999999999,1.4,2.4000000000000004,-0.8,3.2,2,1.0,0.0,0.0,2.0,0.0,0,0,draw
Belgium,Egypt,2026-06-15,FIFA World Cup,True,5,5,0.6,0.4,0.4,0.4,0.0,0.2,2.2,1.6,10,10,0.7,0.6,0.3,0.3,0.0,0.1,3.6,1.4,0.9,0.5,2.7,0.9,2.4,2.1,0.2999999999999999,0.7999999999999998,2.1,-0.0999999999999999,2.2,3,0.6666666666666666,0.0,0.3333333333333333,2.333333333333333,1.5,1,1,draw
Saudi Arabia,Uruguay,2026-06-16,FIFA World Cup,True,5,5,0.2,0.4,0.2,0.4,0.6,0.2,0.8,1.6,10,10,0.4,0.4,0.1,0.4,0.5,0.2,1.2,1.0,1.3,0.9,-0.1,0.1,1.3,1.6,-0.4,-1.2,-0.8,0.7000000000000001,-1.5,2,1.0,0.0,0.0,3.0,0.0,1,1,draw
IR Iran,New Zealand,2026-06-16,FIFA World Cup,True,5,5,0.6,0.2,0.0,0.0,0.4,0.8,1.8,0.6,10,10,0.4,0.1,0.2,0.1,0.4,0.8,1.8,0.8,0.8,1.9,1.0,-1.1,1.4,0.4,0.2,0.3999999999999999,0.8,-0.1999999999999999,1.0,1,0.0,0.0,0.0,1.0,0.0,2,2,draw
France,Senegal,2026-06-16,FIFA World Cup,True,5,5,0.8,0.8,0.0,0.0,0.2,0.2,2.4,2.4,10,10,0.8,0.8,0.1,0.1,0.1,0.1,2.4,2.0,0.8,0.6,1.6,1.4,2.5,2.5,0.7000000000000001,2.0,1.7999999999999998,-0.8999999999999999,2.7,1,1.0,0.0,0.0,1.0,2.0,3,1,team_a_win
Iraq,Norway,2026-06-17,FIFA World Cup,True,5,5,0.2,0.6,0.2,0.2,0.6,0.2,0.8,2.0,10,10,0.2,0.7,0.3,0.2,0.5,0.1,1.1,3.1,1.5,0.7,-0.4,2.4,0.9,2.3,-0.3999999999999999,-1.3000000000000005,-1.1,0.8,-1.9,9,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1,4,team_b_win
Argentina,Algeria,2026-06-17,FIFA World Cup,True,5,5,1.0,0.6,0.0,0.2,0.0,0.2,3.0,2.0,10,10,0.8,0.7,0.1,0.2,0.1,0.1,2.3,2.3,0.3,0.5,2.0,1.8,2.5,2.3,0.6000000000000001,1.6,1.2999999999999998,-1.6,2.9,1,0.0,0.0,1.0,1.0,0.0,3,0,team_a_win
Austria,Jordan,2026-06-17,FIFA World Cup,True,5,5,0.6,0.0,0.2,0.8,0.2,0.2,2.0,0.8,10,10,0.8,0.4,0.1,0.4,0.1,0.2,2.8,1.9,0.5,1.6,2.3,0.3,2.5,1.6,0.4,0.8999999999999999,1.2999999999999998,-0.5,1.7999999999999998,2,0.5,0.0,0.5,1.0,0.0,3,1,team_a_win
Portugal,DR Congo,2026-06-17,FIFA World Cup,True,5,5,0.6,0.0,0.2,0.6,0.2,0.4,2.0,0.6,10,10,0.6,0.0,0.3,0.6,0.1,0.4,2.6,0.8,1.0,1.4,1.6,-0.6,2.1,0.6,0.1999999999999999,0.4000000000000001,1.1,-0.1,1.2000000000000002,1,1.0,0.0,0.0,4.0,0.75,1,1,draw
England,Croatia,2026-06-17,FIFA World Cup,True,5,5,0.6,0.8,0.2,0.2,0.2,0.0,2.0,2.6,10,10,0.7,0.8,0.1,0.1,0.2,0.1,2.2,2.8,0.5,0.7,1.7,2.1,2.2,2.5,0.7,1.7000000000000002,1.2000000000000002,-2.1,3.3,2,0.5,0.0,0.5,1.0,0.6666666666666666,2,1,team_a_win
