model,team_a_mae,team_b_mae,mean_mae,team_a_rmse,team_b_rmse,mean_rmse,team_a_r2,team_b_r2,mean_r2,total_goals_mae,mean_abs_goal_error_per_match,rounded_exact_score_accuracy,rounded_score_outcome_accuracy
Gradient Boosting Regressor,1.0811460439081402,0.7447915900195192,0.9129688169638297,1.4089429219228813,0.9804825430143349,1.194712732468608,0.2601004455164925,0.25517627602968396,0.2576383607730882,1.399739078511273,1.8259376339276594,0.115625,0.624375
Ridge Regression,1.088733481542355,0.7372927789579271,0.9130131302501411,1.4207059366362358,0.9929691133654762,1.206837525000856,0.24769429195592607,0.23608462751474135,0.2418894597353337,1.393712393668016,1.8260262605002822,0.11625,0.6125
XGBoost Regressor,1.0832067728042603,0.745237410068512,0.9142220914363861,1.4133680545767473,0.9775088493258802,1.1954384519513137,0.2554454803466797,0.2596873641014099,0.2575664222240448,1.4023208618164062,1.8284442109707744,0.11625,0.618125
Random Forest Regressor,1.0858219641981288,0.748072063141858,0.9169470136699934,1.4170863749177005,0.9862924714455498,1.201689423181625,0.2515227382631091,0.24632309723801848,0.2489229177505638,1.4113636732642372,1.8338940273399869,0.1175,0.6275
LightGBM Regressor,1.0928240549930126,0.7527384977472221,0.9227812763701173,1.445490328096046,0.992661464982245,1.2190758965391455,0.2212172080200645,0.23655791700336948,0.228887562511717,1.4164929208041304,1.845562552740235,0.125625,0.62875
Poisson Regression,1.1039502490377213,0.7468579575343227,0.9254041032860221,1.4708605708776747,0.9905267471733931,1.230693659025534,0.19363999540731935,0.2398379497189147,0.21673897256311703,1.4118917459630926,1.8508082065720441,0.119375,0.62375
Dummy Mean Baseline,1.239940234375,0.8312781249999999,1.0356091796875,1.6423981563864354,1.136225762942823,1.3893119596646293,-0.005409221613554838,-0.00023727384458394063,-0.002823247729069389,1.4515775390624999,2.071218359375,0.090625,0.581875
