,matches,avg_goals_for,avg_goals_against,avg_goal_diff,avg_points,win_rate,draw_rate,loss_rate
matches,1.0,0.822082017876086,-0.5141976977605948,0.6233682322566809,0.8960285663145315,0.9049707188430905,0.40548743181651786,-0.8372248397034459
avg_goals_for,0.822082017876086,1.0,-0.6380331568462344,0.7687052014866913,0.9401498587671877,0.9360085978732667,0.49126855608286957,-0.8980576261455805
avg_goals_against,-0.5141976977605948,-0.6380331568462344,1.0,-0.9829595924670801,-0.6512272350447829,-0.5806027981859416,-0.6700344269955356,0.7203047133082897
avg_goal_diff,0.6233682322566809,0.7687052014866913,-0.9829595924670801,1.0,0.7653769502180147,0.7057245571443099,0.6738390327690829,-0.8127071973689318
avg_points,0.8960285663145315,0.9401498587671877,-0.6512272350447829,0.7653769502180147,1.0,0.9856657143668338,0.5708651479469464,-0.9696240450508637
win_rate,0.9049707188430905,0.9360085978732667,-0.5806027981859416,0.7057245571443099,0.9856657143668338,1.0,0.4241638118663848,-0.9144586676769527
draw_rate,0.40548743181651786,0.49126855608286957,-0.6700344269955356,0.6738390327690829,0.5708651479469464,0.4241638118663848,1.0,-0.7543519825783803
loss_rate,-0.8372248397034459,-0.8980576261455805,0.7203047133082897,-0.8127071973689318,-0.9696240450508637,-0.9144586676769527,-0.7543519825783803,1.0
