model,team_a_mae,team_b_mae,mean_mae,team_a_rmse,team_b_rmse,mean_rmse,team_a_r2,team_b_r2,mean_r2
Ridge Regression,1.0889319687322652,0.7401561762930271,0.9145440725126461,1.4207281210199005,0.9943010810992894,1.207514601059595,0.24767079720119434,0.23403382239370207,0.2408523097974482
Random Forest Regressor,1.0858219641981288,0.748072063141858,0.9169470136699934,1.4170863749177005,0.9862924714455498,1.201689423181625,0.2515227382631091,0.24632309723801848,0.2489229177505638
Dummy Mean Baseline,1.239940234375,0.8312781249999999,1.0356091796875,1.6423981563864354,1.136225762942823,1.3893119596646293,-0.005409221613554838,-0.00023727384458394063,-0.002823247729069389
